Snack_name,Park_location,Park_area
Churro,Multiple Parks,Concession
Cinnamon Glazed Nuts,Multiple Parks,Concession
Mickey Premium Bar,Multiple Parks,Concession
Mickey Shaped Pretzel,Multiple Parks,Concession
Classic Popcorn,Multiple Parks,Concession
Cotton Candy,Multiple Parks,Concession
Turkey Leg,Multiple Parks,Concession
Mickey Ice Cream Sandwich,Multiple Parks,Concession
Frozen Lemonade,Multiple Parks,Concession
Dole Whip,Magic Kingdom,Aloha Isle
Beignets,Magic Kingdom,Golden Oak Outpost
Spring Rolls,Magic Kingdom,Spring Roll Cart
Sweet Cream Cheese Pretzel,Magic Kingdom,Lunching Pad
All-American Sundae,Magic Kingdom,Plaza Ice Cream Parlor
The Grey Stuff Cupcake,Magic Kingdom,Gastons Tavern
Corn Dog Nuggets,Magic Kingdom,Casey's Corner
Crisped Rice Treat,Magic Kingdom,Main Street Confectionary
Chesire Cat Tail,Magic Kingdom,Cheshire Cafe
Nutella and Fruit Waffle,Magic Kingdom,Sleepy Hollow
Make Your Own Popcorn,Magic Kingdom,Main Street Confectionary
Pepper Jack Pretzel,Magic Kingdom,Cheshire Cafe
Cinnamon Roll,Magic Kingdom,Gastons Tavern
Wookiee Cookie,Hollywood Studios,Backlot Express
Jack Jacks Num Num Cookie,Hollywood Studios,Neighborhood Bakery
Bavarian Pretzel,Hollywood Studios,Baseline Taphouse
Lunch Box Tart,Hollywood Studios,Woodys Lunchbox
Carrot Cake Whoopie Pie,Hollywood Studios,Trolley Car Café
Caramel Corn,Epcot,Karamell-Küche
Caramel Butter Bar,Epcot,Karamell-Küche
Mickey Caramel Cooke Sandwich,Epcot,Karamell-Küche
Funnel Cake,Epcot,Funnel Cake
Kakigori,Epcot,Kabuki Cafe
Maple Popcorn,Epcot,Popcorn In Canada
Cheeseburger Pods,Animal Kingdom,Satu'li Canteen
Anandapur Ice Cream Truck Swirl Cone,Animal Kingdom,Anandapur Ice Cream Truck

Corn On The Cob,Animal Kingdom,Harambe Market
